mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
40.38,0.784,1.664,0.146,0.509,0.335,2.654,6.359,0.0
42.368,0.8290000000000001,0.785,0.11,0.404,0.26,1.558,5.66,0.0
44.035,0.8370000000000001,0.6940000000000001,0.092,0.389,0.243,1.418,5.676,0.0
44.951,0.846,0.62,0.08900000000000001,0.3670000000000001,0.231,1.307,5.6770000000000005,0.0
45.81399999999999,0.8490000000000001,0.589,0.08199999999999999,0.354,0.202,1.226,5.6789999999999985,0.0
43.71,0.846,0.55,0.077,0.34600000000000003,0.201,1.1740000000000002,5.6720000000000015,0.0
45.12600000000001,0.847,0.5,0.075,0.36,0.193,1.127,5.688,0.0
43.465,0.8540000000000001,0.482,0.07200000000000001,0.342,0.17800000000000002,1.075,5.664,0.0
44.07100000000001,0.861,0.434,0.069,0.329,0.18,1.012,5.6789999999999985,0.0
43.65,0.8740000000000001,0.44,0.067,0.304,0.17800000000000002,0.989,5.754,0.0
44.779,0.862,0.423,0.065,0.333,0.16699999999999998,0.989,5.691,0.0
43.79,0.865,0.375,0.065,0.319,0.172,0.93,5.654,0.0
43.905,0.873,0.376,0.061,0.306,0.163,0.906,5.684,0.0
44.066,0.867,0.383,0.061,0.305,0.168,0.917,5.675,0.0
45.242,0.8640000000000001,0.365,0.06,0.322,0.163,0.909,5.692,0.0
44.674,0.866,0.335,0.059,0.316,0.16,0.871,5.6560000000000015,0.0
44.285,0.867,0.33,0.055,0.315,0.153,0.853,5.688,0.0
43.658,0.879,0.317,0.056,0.297,0.154,0.823,5.676,0.0
44.777,0.87,0.293,0.054000000000000006,0.316,0.155,0.8170000000000001,5.691,0.0
43.305,0.8740000000000001,0.326,0.056,0.305,0.156,0.843,5.678,0.0
43.119,0.87,0.322,0.051,0.311,0.14400000000000002,0.8290000000000001,5.693,0.0
44.063,0.878,0.317,0.052000000000000005,0.292,0.14400000000000002,0.805,5.674,0.0
43.547,0.878,0.309,0.051,0.29,0.14,0.79,5.684,0.0
43.919,0.875,0.29600000000000004,0.049,0.299,0.141,0.785,5.68,0.0
44.931,0.8640000000000001,0.277,0.049,0.308,0.145,0.779,5.693,0.0
45.956,0.875,0.276,0.052000000000000005,0.299,0.14800000000000002,0.775,5.688,0.0
43.953,0.882,0.295,0.048,0.28300000000000003,0.14,0.765,5.69,0.0
43.515,0.887,0.277,0.047,0.275,0.141,0.7390000000000001,5.685,0.0
44.46100000000001,0.872,0.275,0.048,0.303,0.13699999999999998,0.764,5.705,0.0
43.475,0.8690000000000001,0.256,0.047,0.293,0.13699999999999998,0.733,5.676,0.0
44.369,0.8809999999999999,0.259,0.045,0.297,0.13699999999999998,0.737,5.681,0.0
45.661,0.872,0.28,0.046,0.303,0.13699999999999998,0.7659999999999999,5.667999999999998,0.0
45.733,0.8740000000000001,0.248,0.044,0.295,0.132,0.7190000000000001,5.683,0.0
46.649,0.8809999999999999,0.261,0.044,0.279,0.136,0.72,5.684,0.0
46.425,0.8740000000000001,0.231,0.044,0.29100000000000004,0.134,0.7,5.678,0.0
45.313,0.8759999999999999,0.238,0.044,0.29100000000000004,0.128,0.7,5.686,0.0
45.451,0.872,0.246,0.043,0.306,0.132,0.727,5.686,0.0
45.236,0.878,0.213,0.043,0.285,0.132,0.674,5.6720000000000015,0.0
44.46100000000001,0.882,0.265,0.042,0.279,0.13,0.716,5.671,0.0
43.839,0.8740000000000001,0.225,0.043,0.292,0.126,0.687,5.662000000000001,0.0
45.56800000000001,0.877,0.225,0.041,0.292,0.129,0.687,5.6770000000000005,0.0
45.5,0.8759999999999999,0.221,0.042,0.295,0.13,0.688,5.664,0.0
45.113,0.888,0.23,0.041,0.255,0.124,0.65,5.666,0.0
43.642,0.8859999999999999,0.206,0.04,0.289,0.121,0.655,5.669,0.0
45.007,0.884,0.239,0.04,0.278,0.127,0.685,5.684,0.0
45.552,0.875,0.2,0.04,0.29600000000000004,0.123,0.6579999999999999,5.683,0.0
43.65600000000001,0.882,0.21,0.039,0.271,0.124,0.643,5.6720000000000015,0.0
41.95399999999999,0.882,0.223,0.04,0.269,0.123,0.655,5.644,0.0
42.87600000000001,0.88,0.215,0.04,0.274,0.123,0.652,5.659,0.0
43.81100000000001,0.888,0.223,0.04,0.27,0.124,0.6559999999999999,5.667999999999998,0.0
43.776,0.87,0.195,0.039,0.29100000000000004,0.123,0.647,5.669,0.0
42.775,0.8909999999999999,0.211,0.038,0.258,0.118,0.625,5.641,0.0
43.90600000000001,0.894,0.192,0.038,0.266,0.116,0.612,5.674,0.0
43.959,0.88,0.199,0.038,0.277,0.116,0.63,5.676,0.0
44.968,0.885,0.198,0.039,0.275,0.119,0.631,5.675,0.0
46.03100000000001,0.8859999999999999,0.199,0.038,0.264,0.113,0.615,5.657,0.0
44.654,0.893,0.173,0.037000000000000005,0.261,0.113,0.584,5.669,0.0
43.642,0.887,0.224,0.038,0.265,0.12,0.647,5.6789999999999985,0.0
43.428,0.9,0.197,0.037000000000000005,0.245,0.116,0.594,5.672999999999999,0.0
43.963,0.889,0.174,0.036000000000000004,0.27,0.116,0.596,5.654,0.0
44.334,0.8959999999999999,0.174,0.036000000000000004,0.251,0.112,0.574,5.667999999999998,0.0
44.799,0.889,0.202,0.037000000000000005,0.26,0.118,0.618,5.675,0.0
44.14,0.89,0.158,0.037000000000000005,0.266,0.118,0.578,5.654,0.0
44.228,0.884,0.19,0.036000000000000004,0.255,0.112,0.593,5.653,0.0
43.04600000000001,0.901,0.153,0.036000000000000004,0.245,0.114,0.5479999999999999,5.658,0.0
42.206,0.898,0.172,0.035,0.244,0.114,0.565,5.659,0.0
43.915,0.893,0.168,0.036000000000000004,0.255,0.11,0.569,5.651,0.0
44.121,0.902,0.157,0.035,0.242,0.115,0.5479999999999999,5.655,0.0
43.591,0.8959999999999999,0.16699999999999998,0.035,0.247,0.109,0.557,5.6610000000000005,0.0
43.083,0.894,0.177,0.035,0.259,0.109,0.58,5.666,0.0
43.659,0.8959999999999999,0.166,0.035,0.256,0.111,0.5670000000000001,5.671,0.0
43.791,0.884,0.163,0.035,0.262,0.116,0.5760000000000001,5.6629999999999985,0.0
44.31100000000001,0.898,0.156,0.034,0.246,0.107,0.544,5.647,0.0
44.00899999999999,0.894,0.153,0.035,0.252,0.107,0.547,5.658,0.0
43.282,0.903,0.153,0.034,0.24,0.114,0.542,5.665,0.0
43.239,0.906,0.188,0.034,0.241,0.108,0.5710000000000001,5.655,0.0
42.412,0.895,0.172,0.034,0.241,0.106,0.5529999999999999,5.648,0.0
43.185,0.9,0.16399999999999998,0.034,0.241,0.109,0.5479999999999999,5.664,0.0
42.648,0.9,0.156,0.033,0.255,0.103,0.5479999999999999,5.655,0.0
43.304,0.904,0.168,0.034,0.239,0.105,0.547,5.66,0.0
44.158,0.899,0.14400000000000002,0.033,0.247,0.11,0.534,5.651,0.0
42.497,0.903,0.156,0.033,0.222,0.099,0.51,5.667999999999998,0.0
42.17,0.901,0.153,0.034,0.236,0.105,0.527,5.651,0.0
42.15600000000001,0.89,0.159,0.032,0.261,0.106,0.5589999999999999,5.653,0.0
41.87300000000001,0.902,0.14800000000000002,0.033,0.233,0.104,0.518,5.652,0.0
43.11600000000001,0.899,0.153,0.033,0.246,0.106,0.5379999999999999,5.666,0.0
43.831,0.906,0.162,0.033,0.238,0.101,0.534,5.654,0.0
45.111,0.9,0.14,0.032,0.246,0.101,0.519,5.67,0.0
44.687,0.899,0.135,0.033,0.249,0.097,0.514,5.655,0.0
